Track name, Artist name, Album, Playlist name, Type
The Masterplan (Remastered),Oasis,(What's The Story) Morning Glory? [Remastered],Favourites 2019/02/20,Playlist track
Don't Look Back in Anger (Remastered),Oasis,(What's The Story) Morning Glory? [Remastered],Favourites 2019/02/20,Playlist track
Breezeblocks,alt-J,An Awesome Wave,Favourites 2019/02/20,Playlist track
Golden Skans,Klaxons,Golden Skans,Favourites 2019/02/20,Playlist track
I Wanna Be Yours,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
R U Mine?,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Do I Wanna Know?,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,Favourites 2019/02/20,Playlist track
Snap Out of It,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Cast No Shadow (Remastered),Oasis,(What's The Story) Morning Glory? [Remastered],Favourites 2019/02/20,Playlist track
Live Forever (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Supersonic (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Tap Out,The Strokes,Comedown Machine,Favourites 2019/02/20,Playlist track
Digsy's Dinner (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
One for the Road,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Someday,The Strokes,Is This It,Favourites 2019/02/20,Playlist track
Last Nite,The Strokes,Is This It,Favourites 2019/02/20,Playlist track
The Bakery,Arctic Monkeys,Fluorescent Adolescent,Favourites 2019/02/20,Playlist track
If I Fell (Remastered 2009),The Beatles,A Hard Day's Night (Remastered),Favourites 2019/02/20,Playlist track
Little By Little,Oasis,Time Flies...1994-2009,Favourites 2019/02/20,Playlist track
There Is a Light That Never Goes Out (2011 Remaster),The Smiths,Complete,Favourites 2019/02/20,Playlist track
"I Know (Live from Los Angeles, CA 2015)",Drake Bell,Jam in the Van - Drake Bell,Favourites 2019/02/20,Playlist track
She Is Love,Oasis,Time Flies...1994-2009,Favourites 2019/02/20,Playlist track
Married with Children (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Mr. Brightside,The Killers,Nu Rock,Favourites 2019/02/20,Playlist track
Fireside,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
The Death Of You And Me (Album Version),Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,Favourites 2019/02/20,Playlist track
While The Song Remains The Same,Noel Gallagher's High Flying Birds,Chasing Yesterday,Favourites 2019/02/20,Playlist track
AKA...What A Life!,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,Favourites 2019/02/20,Playlist track
Wall Of Glass,Liam Gallagher,As You Were (Deluxe Edition),Favourites 2019/02/20,Playlist track
For What It's Worth,Liam Gallagher,As You Were (Deluxe Edition),Favourites 2019/02/20,Playlist track
Paper Crown,Liam Gallagher,As You Were (Deluxe Edition),Favourites 2019/02/20,Playlist track
Come Back To Me,Liam Gallagher,As You Were (Deluxe Edition),Favourites 2019/02/20,Playlist track
Holy Mountain,Noel Gallagher's High Flying Birds,Holy Mountain,Favourites 2019/02/20,Playlist track
Still Into You,Paramore,Paramore,Favourites 2019/02/20,Playlist track
Ain't It Fun,Paramore,Paramore,Favourites 2019/02/20,Playlist track
Careful,Paramore,brand new eyes,Favourites 2019/02/20,Playlist track
Last Hope,Paramore,Paramore,Favourites 2019/02/20,Playlist track
Hard Times,Paramore,Hard Times,Favourites 2019/02/20,Playlist track
While My Guitar Gently Weeps (Remastered 2009),The Beatles,The Beatles (Remastered),Favourites 2019/02/20,Playlist track
Told You So,Paramore,After Laughter,Favourites 2019/02/20,Playlist track
Tear In My Heart,Twenty One Pilots,Blurryface,Favourites 2019/02/20,Playlist track
Run For Cover,The Killers,Wonderful Wonderful (Deluxe),Favourites 2019/02/20,Playlist track
Spent the Day in Bed,Morrissey,Spent the Day in Bed,Favourites 2019/02/20,Playlist track
The Way You Used To Do,Queens of the Stone Age,The Way You Used To Do,Favourites 2019/02/20,Playlist track
Boys Don't Cry,The Cure,Greatest Hits,Favourites 2019/02/20,Playlist track
Friday I'm In Love,The Cure,Wish,Favourites 2019/02/20,Playlist track
Help! (Remastered 2009),The Beatles,Help! (Remastered),Favourites 2019/02/20,Playlist track
Fake Happy,Paramore,After Laughter,Favourites 2019/02/20,Playlist track
26,Paramore,After Laughter,Favourites 2019/02/20,Playlist track
Suck It and See,Arctic Monkeys,Suck It and See,Favourites 2019/02/20,Playlist track
Black & White Sunshine,Noel Gallagher's High Flying Birds,Who Built The Moon?,Favourites 2019/02/20,Playlist track
If Love Is The Law,Noel Gallagher's High Flying Birds,Who Built The Moon?,Favourites 2019/02/20,Playlist track
Keep On Reaching,Noel Gallagher's High Flying Birds,Who Built The Moon?,Favourites 2019/02/20,Playlist track
Best of You,Foo Fighters,Greatest Hits,Favourites 2019/02/20,Playlist track
Lemon to a Knife Fight,The Wombats,Lemon to a Knife Fight,Favourites 2019/02/20,Playlist track
"Dead In The Water (Live At RTÉ 2FM Studios, Dublin)",Noel Gallagher's High Flying Birds,Who Built The Moon?,Favourites 2019/02/20,Playlist track
Heaven Knows I'm Miserable Now (2008 Remaster),The Smiths,The Sound Of The Smiths [Deluxe Edition],Favourites 2019/02/20,Playlist track
How Did We Get So Dark?,Royal Blood,How Did We Get So Dark?,Favourites 2019/02/20,Playlist track
Lullaby,Frank Carter & The Rattlesnakes,Modern Ruin,Favourites 2019/02/20,Playlist track
Turn,The Wombats,Turn,Favourites 2019/02/20,Playlist track
Polarize,Twenty One Pilots,Blurryface,Favourites 2019/02/20,Playlist track
Fairly Local,Twenty One Pilots,Blurryface,Favourites 2019/02/20,Playlist track
Black (Brendan O'Brien Mix),Pearl Jam,Ten Redux,Favourites 2019/02/20,Playlist track
Not Warriors,Waterparks,Entertainment,Favourites 2019/02/20,Playlist track
Feel The Love Go (Edit),Franz Ferdinand,Feel The Love Go (Edit),Favourites 2019/02/20,Playlist track
Leave It In My Dreams,The Voidz,Leave It In My Dreams,Favourites 2019/02/20,Playlist track
Black Flamingo,The Wombats,Beautiful People Will Ruin Your Life,Favourites 2019/02/20,Playlist track
"Nameless, Faceless",Courtney Barnett,"Nameless, Faceless",Favourites 2019/02/20,Playlist track
bernard trigger,cleopatrick,bernard trigger,Favourites 2019/02/20,Playlist track
Let's Dance To Joy Division,The Wombats,"Proudly Present....A Guide To Love, Loss & Desperation",Favourites 2019/02/20,Playlist track
Lethal Combination,The Wombats,Beautiful People Will Ruin Your Life,Favourites 2019/02/20,Playlist track
The Roller,Beady Eye,The Roller,Favourites 2019/02/20,Playlist track
Flick of The Finger,Beady Eye,BE,Favourites 2019/02/20,Playlist track
Nervous,The Neighbourhood,Nervous,Favourites 2019/02/20,Playlist track
Daddy Issues,The Neighbourhood,Wiped Out!,Favourites 2019/02/20,Playlist track
Somebody Told Me,The Killers,Hot Fuss,Favourites 2019/02/20,Playlist track
Human (Album Version),The Killers,Day & Age,Favourites 2019/02/20,Playlist track
Half the World Away (Remastered),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Falling Down,Oasis,Falling Down,Favourites 2019/02/20,Playlist track
If I Had A Gun...,Noel Gallagher's High Flying Birds,If I Had A Gun...,Favourites 2019/02/20,Playlist track
Underneath the Sky,Oasis,The Masterplan,Favourites 2019/02/20,Playlist track
Lazy Boy,The Voidz,Virtue,Favourites 2019/02/20,Playlist track
ALieNNatioN,The Voidz,Virtue,Favourites 2019/02/20,Playlist track
Acquiesce,Oasis,The Masterplan,Favourites 2019/02/20,Playlist track
Rockin' Chair,Oasis,The Masterplan,Favourites 2019/02/20,Playlist track
Can't Stop,Red Hot Chili Peppers,By The Way (Deluxe Version),Favourites 2019/02/20,Playlist track
Put Your Money on Me (Single Version),Arcade Fire,Put Your Money on Me (Single Version),Favourites 2019/02/20,Playlist track
Over My Head,Echosmith,Over My Head,Favourites 2019/02/20,Playlist track
Choke,I DONT KNOW HOW BUT THEY FOUND ME,Choke,Favourites 2019/02/20,Playlist track
Rose-Colored Boy,Paramore,After Laughter,Favourites 2019/02/20,Playlist track
Are You In Love With A Notion?,The Courteeners,ANNA,Favourites 2019/02/20,Playlist track
Cheetah Tongue,The Wombats,Cheetah Tongue,Favourites 2019/02/20,Playlist track
Stellify (Album Version),Ian Brown,My Way (UK Digital Album),Favourites 2019/02/20,Playlist track
Centuries,Fall Out Boy,American Beauty/American Psycho,Favourites 2019/02/20,Playlist track
Talk,Against The Current,Gravity,Favourites 2019/02/20,Playlist track
Bide Your Time,The Courteeners,St. Jude,Favourites 2019/02/20,Playlist track
Two Fingers,Jake Bugg,Jake Bugg,Favourites 2019/02/20,Playlist track
Broken,Jake Bugg,Jake Bugg,Favourites 2019/02/20,Playlist track
We Can Work It Out (Remastered 2015),The Beatles,1 (Remastered),Favourites 2019/02/20,Playlist track
Stuck on the puzzle,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,Favourites 2019/02/20,Playlist track
My Mistakes Were Made For You,The Last Shadow Puppets,The Age Of The Understatement,Favourites 2019/02/20,Playlist track
Crying Lightning,Arctic Monkeys,Humbug,Favourites 2019/02/20,Playlist track
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Don't Sit Down 'Cause I've Moved Your Chair,Arctic Monkeys,Suck It and See,Favourites 2019/02/20,Playlist track
Miracle Aligner,The Last Shadow Puppets,Everything You've Come To Expect,Favourites 2019/02/20,Playlist track
In The Heat Of The Moment,Noel Gallagher's High Flying Birds,Chasing Yesterday,Favourites 2019/02/20,Playlist track
I Bet You Look Good On The Dancefloor,Arctic Monkeys,I Bet You Look Good On The Dancefloor,Favourites 2019/02/20,Playlist track
It’s A Beautiful World (Radio Edit),Noel Gallagher's High Flying Birds,It’s A Beautiful World,Favourites 2019/02/20,Playlist track
Knee Socks,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare,Favourites 2019/02/20,Playlist track
Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare,Favourites 2019/02/20,Playlist track
Four Out Of Five,Arctic Monkeys,Tranquility Base Hotel & Casino,Favourites 2019/02/20,Playlist track
Batphone,Arctic Monkeys,Tranquility Base Hotel & Casino,Favourites 2019/02/20,Playlist track
The Ultracheese,Arctic Monkeys,Tranquility Base Hotel & Casino,Favourites 2019/02/20,Playlist track
Star Treatment,Arctic Monkeys,Tranquility Base Hotel & Casino,Favourites 2019/02/20,Playlist track
Cornerstone,Arctic Monkeys,Cornerstone,Favourites 2019/02/20,Playlist track
"Sweet Dreams, TN",The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),Favourites 2019/02/20,Playlist track
Pattern,The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),Favourites 2019/02/20,Playlist track
Everything You've Come To Expect,The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),Favourites 2019/02/20,Playlist track
Dirty Laundry,All Time Low,Dirty Laundry,Favourites 2019/02/20,Playlist track
"Dance, Dance",Fall Out Boy,From Under The Cork Tree Limited Tour Edition,Favourites 2019/02/20,Playlist track
Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,Favourites 2019/02/20,Playlist track
Come On Then,Lily Allen,No Shame,Favourites 2019/02/20,Playlist track
Stressed Out,Twenty One Pilots,Blurryface,Favourites 2019/02/20,Playlist track
Cigarette Daydreams,Cage The Elephant,Melophobia,Favourites 2019/02/20,Playlist track
Seen It All,Jake Bugg,Jake Bugg,Favourites 2019/02/20,Playlist track
On Melancholy Hill,Gorillaz,Plastic Beach,Favourites 2019/02/20,Playlist track
Feels Like We Only Go Backwards,Tame Impala,Lonerism,Favourites 2019/02/20,Playlist track
Electric Feel,MGMT,Oracular Spectacular,Favourites 2019/02/20,Playlist track
Machu Picchu,The Strokes,Angles,Favourites 2019/02/20,Playlist track
Crush,Tessa Violet,Crush,Favourites 2019/02/20,Playlist track
Champagne Supernova (Remastered),Oasis,(What's The Story) Morning Glory? [Remastered],Favourites 2019/02/20,Playlist track
Junk Of The Heart (Happy),The Kooks,Junk Of The Heart,Favourites 2019/02/20,Playlist track
3AM,You Me At Six,3AM,Favourites 2019/02/20,Playlist track
Fast Forward,You Me At Six,Fast Forward,Favourites 2019/02/20,Playlist track
Friday I'm In Love,Janet Devlin,Running With Scissors,Favourites 2019/02/20,Playlist track
Los Ageless,St. Vincent,MASSEDUCTION,Favourites 2019/02/20,Playlist track
Cool Kids,Echosmith,Talking Dreams (Deluxe Version),Favourites 2019/02/20,Playlist track
Come Together,Echosmith,Talking Dreams (Deluxe Version),Favourites 2019/02/20,Playlist track
Stop The World I Wanna Get Off With You,Arctic Monkeys,Why'd You Only Call Me When You're High?,Favourites 2019/02/20,Playlist track
Something Human,Muse,Something Human,Favourites 2019/02/20,Playlist track
Space Oddity (2015 Remastered Version),David Bowie,David Bowie (aka Space Oddity) (2015 Remastered Version),Favourites 2019/02/20,Playlist track
Anna Sun,Walk The Moon,Walk The Moon,Favourites 2019/02/20,Playlist track
Shut Up and Dance,Walk The Moon,TALKING IS HARD,Favourites 2019/02/20,Playlist track
One Foot,Walk The Moon,One Foot,Favourites 2019/02/20,Playlist track
Creep,Radiohead,Pablo Honey,Favourites 2019/02/20,Playlist track
It's Time,Imagine Dragons,Night Visions,Favourites 2019/02/20,Playlist track
Somebody That I Used To Know,Gotye,Making Mirrors,Favourites 2019/02/20,Playlist track
Fat Lip,Sum 41,"All Killer, No Filler",Favourites 2019/02/20,Playlist track
No.1 Party Anthem,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
Demons,Imagine Dragons,Night Visions,Favourites 2019/02/20,Playlist track
Immaterial,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,Favourites 2019/02/20,Playlist track
Low Key,Hannie,Low Key,Favourites 2019/02/20,Playlist track
Little Talks,Of Monsters And Men,My Head Is An Animal,Favourites 2019/02/20,Playlist track
Anywhere,Passenger,Anywhere,Favourites 2019/02/20,Playlist track
Spirits,The Strumbellas,Hope,Favourites 2019/02/20,Playlist track
Feel Good Inc,Gorillaz,Demon Days,Favourites 2019/02/20,Playlist track
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Version),Favourites 2019/02/20,Playlist track
On Top Of The World,Imagine Dragons,Night Visions,Favourites 2019/02/20,Playlist track
Slippin',The Magic Gang,The Magic Gang (Deluxe),Favourites 2019/02/20,Playlist track
How Soon Is Now? (2008 Remaster),The Smiths,The Sound Of The Smiths [Deluxe Edition],Favourites 2019/02/20,Playlist track
Everybody Wants To Be Famous,Superorganism,Everybody Wants To Be Famous,Favourites 2019/02/20,Playlist track
Midnight City,M83,Midnight City (Remix EP),Favourites 2019/02/20,Playlist track
Hell or High Water,Passenger,Hell or High Water,Favourites 2019/02/20,Playlist track
"New Person, Same Old Mistakes",Tame Impala,Currents,Favourites 2019/02/20,Playlist track
Another Love,Tom Odell,Songs from Another Love,Favourites 2019/02/20,Playlist track
Can't Pretend,Tom Odell,Songs from Another Love,Favourites 2019/02/20,Playlist track
Leave a Light On,Tom Walker,Leave a Light On,Favourites 2019/02/20,Playlist track
Am I Wrong,Nico & Vinz,Am I Wrong,Favourites 2019/02/20,Playlist track
"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon,Favourites 2019/02/20,Playlist track
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),Favourites 2019/02/20,Playlist track
The Less I Know The Better,Tame Impala,Currents,Favourites 2019/02/20,Playlist track
Fire Flies,Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
still feel.,half•alive,still feel.,Favourites 2019/02/20,Playlist track
